ਮੁਸਕਰਾਹਟ புன்னகை
ਸੇਲਿਬ੍ਰਿਟੀ பிரபலம்
ਫਿਲਮ படம்
ਖਬਰਾਂ செய்தி
ਮਨੋਰੰਜਨ பொழுதுபோக்கு
ਗੀਤ பாடல்
ਮਜ਼ਬੂਤ வலுவான
ਪਰ ஆனாலும்
ਖਰੀਦਿਆ வாங்கினார்
ਬੇਰਹਿਮ கொடூரமான
ਦੂਤ தேவதை
ਨਿਯਮ ஆட்சி
ਤੋੜ உடைக்க
ਹੱਡੀ எலும்பு
ਦਿਖਾਓ நிகழ்ச்சி
ਗੁਪਤ இரகசிய
ਕਿਸਮਤ விதி
ਚੀਕਣਾ அலறல்
ਨਵਾਂ புதிய
ਪੁਰਾਣਾ பழைய
ਕੱਚਾ மூல
ਤਾਜ਼ਾ புதியது
ਸ਼ਕਲ வடிவம்
ਸ਼ੈਤਾਨ பிசாசு
ਮੰਗਲ செவ்வாய்
ਬਾਗ தோட்டம்
ਮਿੱਟੀ மண்
ਗ੍ਰਹਿ கிரகம்
ਮਜ਼ੇਦਾਰ வேடிக்கை
ਕਪਾਟ வாயில்
ਗਲੀ தெரு
ਝਰਨਾ அருவி
ਡਿੱਗ வீழ்ச்சி
ਵਧਣਾ உயர்வு
ਗਰਮੀ வெப்பம்
ਕਹਾਣੀ கதை
ਉਮਰ வயது
ਕੀ என்ன
ਕਿਵੇਂ எப்படி
ਕਿਉਂ ஏன்
ਜੋ எந்த
ਮਤਲਬ பொருள்
ਸਾਨੂੰ எங்களுக்கு
ਹਿਲਾ குலுக்கல்
ਪ੍ਰਤਿਭਾ மேதை
ਮੂਰਖ முட்டாள்
ਆਸਾਨ எளிய
ਸਖ਼ਤ கடினமான
ਮੁਸ਼ਕਲ கடினமான
ਸੋਕਾ வறட்சி
ਕਮਰਾ அறை
ਉੱਚੀ உரத்த
ਹੜ੍ਹ வெள்ளம்
ਮੋਰੀ துளை
ਪੰਚ குத்து
ਡੁੱਬਣਾ மூழ்கி
ਤੈਰਾਕੀ நீந்த
ਸਾਫ਼ சுத்தமான
ਵਧਣਾ வளர
ਪਿਆਸ தாகம்
ਜੰਗ போர்
ਸ਼ਾਂਤੀ சமாதானம்
ਵਾਪਸ மீண்டும்
ਗਿਆਨ அறிவு
ਸਾਹਮਣੇ முன்
ਖ਼ਰਗੋਸ਼ முயல்
ਅੰਤ முடிவு
ਸ਼ੁਰੂ தொடங்கு
ਸਾਰੇ அனைத்து
ਘਰ வீடு
ਮਿੱਠਾ இனிப்பு
ਖੱਟਾ புளிப்பான
ਕੌੜਾ கசப்பான
ਨਮਕੀਨ உப்பு
ਸਨੈਕਸ தின்பண்டங்கள்
ਵਕੀਲ வழக்கறிஞர்
ਨਰਸ செவிலியர்
ਸਟੇਸ਼ਨ நிலையம்
ਛੱਤਰੀ குடை
ਜਾਦੂ மந்திரம்
ਇਨਾਮ பரிசு
ਪੁਰਸਕਾਰ விருது
ਸੰਗੀਤ இசை
ਬੱਚਾ குழந்தை
ਗੁਆਉਣਾ இழக்க
ਡਰਾਉਣਾ பயமுறுத்தும்
ਦਹਿਸ਼ਤ பயங்கரம்
ਡਰ திகில்
ਪਹਿਲਾਂ முதலில்
ਦੂਜਾ இரண்டாவது
ਤੀਜਾ மூன்றாவது
ਚੌਥਾ நான்காவது
ਪੰਜਵਾਂ ஐந்தாவது
ਛੇਵਾਂ ஆறாவது
ਸੱਤਵਾਂ ஏழாவது
ਅੱਠਵਾਂ எட்டாவது
ਨੌਵਾਂ ஒன்பதாவது
ਦਸਵਾਂ பத்தாவது
ਤਾਲਾਬ குளம்
ਝੀਲ ஏரி
ਲੰਬੇ நீளமானது
ਛੋਟਾ குறுகிய
ਪੁਜਾਰੀ பாதிரியார்
ਮਿਕਸ கலக்கவும்
ਵਧੀਆ சிறந்த
விற்க விற்க
ਖਰੀਦੋ வாங்க
ਖਰੀਦ கொள்முதல்
ਖੇਡ விளையாட்டு
ਸਕੋਰ மதிப்பெண்
ਆਤਮਾ ஆன்மா
ਮੈਨੂੰ என்னை
ਆਈ நான்
ਜ਼ਖ਼ਮ காயம்
ਅਪਰਾਧ குற்றம்
ਅਪਰਾਧੀ குற்றவாளி
ਪੁਲਿਸ காவல்
ਦਿਲ இதயம்
ਪੇਟ வயிறு
ਫੇਫੜੇ நுரையீரல்
ਜਿਗਰ கல்லீரல்
ਮਨ மனம்
ਨਰਮ மென்மையான
ਸੂਰਜਮੁਖੀ சூரியகாந்தி
ਗੁਲਾਬ உயர்ந்தது
ਸੁੱਟੋ வீசு
ਸਮਾਰਟ புத்திசாலி
ਦੇਖੋ பார்
ਮਰੇ இறந்தார்
ਭਰੋਸਾ நம்பிக்கை
ਬੰਦੂਕ துப்பாக்கி
ਸ਼ਹਿਦ தேன்
ਮੁਸੀਬਤ பிரச்சனை
ਗਲਤੀ தவறு
ਜ਼ਮੀਨ தரையில்
ਮਾਫ਼ੀ மன்னிப்புகள்
ਮਜ਼ਾਕ நகைச்சுவை
ਕਾਮੇਡੀ நகைச்சுவை
ਵਿਸ਼ਵਾਸ நம்பிக்கை
ਉਮੀਦ நம்பிக்கை
ਕਹਿਰ சீற்றம்
ਗਰੁੱਪ குழு
ਬਰਫ਼ பனிக்கட்டி
ਸਾਫ਼ தெளிவானது
ਬਘਿਆੜ ஓநாய்
ਬਤਖ਼ வாத்து
ਕਿਸਮਤ அதிர்ஷ்டம்
ਬਦਕਿਸਮਤ துரதிர்ஷ்டவசமான
ਖੁਸ਼ਕਿਸਮਤ அதிர்ஷ்டசாலி
ਘੜੀ கடிகாரம்
ਸੋਨਾ தங்கம்
ਚਾਂਦੀ வெள்ளி
ਕਾਂਸੀ வெண்கலம்
ਨਫ਼ਰਤ வெறுக்கிறேன்
ਘਿਰਣਾ வெறுப்பு
ਵਧੀਆ நல்ல
ਪਰੇਡ அணிவகுப்பு
ਕੁਹਾੜੀ கோடாரி
ਵਿਆਹ திருமணம்
ਚਮਕ பிரகாசிக்கின்றன
ਸ਼ੀਸ਼ਾ கண்ணாடி
ਨਾਜ਼ੁਕ மென்மையானது
ਰਾਜਨੀਤੀ அரசியல்
ਤਬਦੀਲੀ மாற்றம்
ਸਦਮਾ அதிர்ச்சி
ਅੜਿੱਕਾ வேட்டையாடு
ਧੂੰਆਂ புகை
ਅੱਗੇ முன்
ਬਾਅਦ பிறகு
ਲੌਂਗ கிராம்பு
ਹਉਮੈ ஈகோ
ਪੈਨਸਿਲ எழுதுகோல்
ਇਰੇਜ਼ਰ அழிப்பான்
ਫੱਟੀ பலகை
ਸ਼ੀਟ தாள்
ਦਾਲਚੀਨੀ இலவங்கப்பட்டை
ਆਟਾ மாவு
ਅਮਰੀਕਾ அமெரிக்கா
ਰੂਸ ரஷ்யா
ਚੀਨ சீனா
ਭਾਰਤ இந்தியா
ਫਰਾਂਸ பிரான்ஸ்
ਜਰਮਨੀ ஜெர்மனி
ਸਵਿੱਟਜਰਲੈਂਡ சுவிட்சர்லாந்து
ਪਾਕਿਸਤਾਨ பாகிஸ்தான்
ਆਸਟ੍ਰੇਲੀਆ ஆஸ்திரேலியா
ਬੋਤਲ பாட்டில்
ਕਿਰਲੀ பல்லி
ਇਮਾਰਤ கட்டிடம்
ਸੀਮਿੰਟ சிமெண்ட்
ਰੰਗਤ பெயிண்ட்
ਕੇਬਲ கேபிள்
ਤਾਰ கம்பி
ਕੇਕ கேக்
ਬਿਸਕੁਟ பிஸ்கட்
ਖੁਸ਼ਬੂ நறுமணம்
ਗੰਧ வாசனை
ਉਰਦੂ உருது
ਬੰਗਾਲੀ பெங்காலி
ਓਡੀਆ ஓடியா
ਗੁਜਰਾਤੀ குஜராத்தி
ਰਾਜਸਥਾਨ ராஜஸ்தான்
ਗੁਹਾਟੀ கவுகாத்தி
ਅਸਾਮ அசாம்
ਗੰਗਟੋਕ கேங்டாக்
ਝੰਡਾ கொடி
ਚਿੰਨ੍ਹ சின்னம்
ਇਸ਼ਾਰਾ சமிக்ஞை
ਮੌਜੂਦਾ தற்போதைய
ਬਿਜਲੀ மின்சாரம்
ਮੇਜ਼ மேசை
ਕੁਰਸੀ நாற்காலி
ਰੋਮ ரோம்
ਪੈਰਿਸ பாரிஸ்
ਬ੍ਰਾਜ਼ੀਲ பிரேசில்
ਸਕਾਟਲੈਂਡ ஸ்காட்லாந்து
ਸਲੋਵਾਕੀਆ ஸ்லோவாக்கியா
ਕੇਰਲਾ கேரளா
ਗੋਆ கோவா
ਮੁੰਬਈ மும்பை
ਮਹਾਰਾਸ਼ਟਰ மகாராஷ்டிரா
ਬਿਹਾਰ பீகார்
ਮਿਜ਼ੋਰਮ மிசோரம்
ਮਨੀਪੁਰ மணிப்பூர்
ਨਾਗਾਲੈਂਡ நாகாலாந்து
ਨਾਗਪੁਰ நாக்பூர்
ਪਾਰਟੀ கட்சி
ਬਰਲਿਨ பெர்லின்
ਅੰਟਾਰਕਟਿਕਾ அண்டார்டிகா
ਕੰਪਨੀ நிறுவனம்
ਮਾਲੀਆ வருவாய்
ਕੰਪਿਊਟਰ கணினி
ਮਸ਼ੀਨ இயந்திரம்
ਪ੍ਰੇਰਣਾ முயற்சி
ਫੋਰਸ படை
ਪੁੰਜ நிறை
ਆਪਟਿਕਸ ஒளியியல்
ਫੋਕਸ கவனம்
ਬਿੰਦੂ புள்ளி
ਲਾਈਨ வரி
ਕਰਵ வளைவு
ਅੰਡਾਕਾਰ நீள்வட்டம்
ਚੱਕਰ வட்டம்
ਤਿਕੋਣ முக்கோணம்
ਆਇਤਕਾਰ செவ்வகம்
ਵਰਗ சதுரம்
ਥਿਊਰਮ தேற்றம்
ਪੜਾਅ மேடை
ਮਹਿਮਾਨ விருந்தினர்
ਕਹਾਵਤ பழமொழி
ਭਾਸ਼ਾ மொழி
ਸਮਾਨ சாமான்கள்
ਰੇਲਗੱਡੀ தொடர்வண்டி
ਬੱਸ பேருந்து
ਰਾਕੇਟ ராக்கெட்
ਟਰੱਕ மூன்று
ਟਰਾਮ டிராம்
ਮੰਦਰ கோவில்
ਚਰਚ தேவாலயம்
ਮਸਜਿਦ மஸ்ஜித்
ਐਨਕਾਂ கண்ணாடிகள்
ਪਾਂਡੀਚਰੀ பாண்டிச்சேரி
ਚੇਨਈ சென்னை
ਚੰਡੀਗੜ੍ਹ சண்டிகர்
ਦਿੱਲੀ டெல்லி
ਕੋਲਕਾਤਾ கொல்கத்தா
ਸੰਸਥਾ அமைப்பு
ਦਫ਼ਤਰ அலுவலகம்
ਬੌਸ முதலாளி
ਕਰਮਚਾਰੀ பணியாளர்
ਅਧਿਕਾਰੀ அதிகாரி
ਡਰਾਈਵਰ இயக்கி
ਅਮੀਰ பணக்கார
ਗਰੀਬ ஏழை
ਲੋੜਵੰਦ தேவையுள்ள
ਭਿਖਾਰੀ பிச்சைக்காரன்
ਉਦਯੋਗਪਤੀ தொழிலதிபர்
ਦੁਕਾਨਦਾਰ கடைக்காரர்
ਟਿਫਨ சிற்றுண்டி
ਕਸ਼ਮੀਰ காஷ்மீர்
ਭੋਪਾਲ போபால்
ਬੈਂਗਲੁਰੂ பெங்களூர்
ਪਣਜੀ பனாஜி
ਜੈਪੁਰ ஜெய்ப்பூர்
ਲਖਨਊ அதிர்ஷ்டம்
ਮੱਖੀਆਂ ஈக்கள்
ਇਲੈਕਟ੍ਰਾਨਿਕਸ மின்னணுவியல்
ਹੀਰੋ ஹீரோ
ਤਸਵੀਰ புகைப்படம்
ਚਿੱਤਰ படம்
ਵੈੱਬਸਾਈਟ இணையதளம்
ਇੰਟਰਨੈੱਟ இணையதளம்
ਗੱਲਬਾਤ அரட்டை
ਟੈਕਸਟ உரை
ਮਿਥਿਹਾਸ புராணம்
ਵਿਗਿਆਨੀ விஞ்ஞானி
பேய் பேய்
ਜਨਤਕ பொது
ਤਾਕਤ சக்தி
ਨਿੱਜੀ தனிப்பட்ட
ਮਾਈਕ மைக்
ਓਲੰਪਿਕ ஒலிம்பிக்
ਕ੍ਰਿਕਟ மட்டைப்பந்து
ਬਾਸਕਟਬਾਲ கூடைப்பந்து
ਬੇਸਬਾਲ பேஸ்பால்
ਬੈਡਮਿੰਟਨ பூப்பந்து
ਵਾਲੀਬਾਲ கைப்பந்து
ਅਥਲੀਟ தடகள
ਐਥਲੈਟਿਕਸ தடகள
ਚਾਰਜ கட்டணம்
ਆਨਲਾਈਨ நிகழ்நிலை
ਔਫਲਾਈਨ ஆஃப்லைனில்
ਕਾਨਫਰੰਸ மாநாடு
ਪੁਰੀ பூரி
ਹੈਦਰਾਬਾਦ ஹைதராபாத்
ਤੇਲਗੂ தெலுங்கு
ਕਹਾਣੀ கதை
ਸ਼ੁਭਕਾਮਨਾਵਾਂ வாழ்த்துக்கள்
ਆਟੋ ஆட்டோ
ਮੀਟਰ மீட்டர்
ਤਿਆਰ தயார்
ਟੋਸਟ சிற்றுண்டி
ਰੋਟੀ ரொட்டி
ਫਰਾਈ வறுக்கவும்
ਗੰਜਾ வழுக்கை
ਕਾਪੀ குறிப்பேடு
ਨੋਟਪੈਡ நோட்பேட்
ਚੈਨਲ சேனல்
ਵਾਲੀਅਮ தொகுதி
ਸਲੇਟੀ சாம்பல்
ਵਾਇਲੇਟ ஊதா
ਗੁਲਾਬੀ இளஞ்சிவப்பு
ਸੰਤਰਾ ஆரஞ்சு
ਛਾਂ நிழல்
ਪਰਛਾਵਾਂ நிழல்
ਸੰਜੀਵ மந்தமான
ਨਿਰਾਸ਼ இருண்ட
ਖੁਸ਼ਹਾਲ களிப்பூட்டும்
ਕਲਪਨਾ கற்பனை
ਵਿਹਾਰ நடத்தை
ਸ਼ਿਸ਼ਟਾਚਾਰ நடத்தை
ਗੈਰਕਾਨੂੰਨੀ சட்டவிரோதமானது
ਪਾਲਤੂ செல்லப்பிராணி
ਗਿੱਦੜ நரி
ਮੰਗੂ முங்கூஸ்
ਆਲ੍ਹਣਾ கூடு
ਗੁਫਾ குகை
ਕਤਾਰ வரிசை
ਕਾਲਮ நெடுவரிசை
ਵਿਕਰਣ மூலைவிட்டமான
ਜੰਗਲ காட்டில்
ਜੰਗਲ காடு
ਟਾਵਰ கோபுரம்
ਮੱਥੇ நெற்றி
ਅਪਾਹਜ ஊனம்
ਕੁਸ਼ਤੀ மல்யுத்தம்
ਭਾਰਚੁੱਕਣਾ பளுதூக்குதல்
ਦਰਾਜ਼ அலமாரியை
ਸਿਸਟਮ அமைப்பு
ਬੂੰਦਾਬਾਂਦੀ தூறல்
ਸੰਧਿਆ அந்தி
ਸਵੇਰ விடியல்
ਹੋਰੀਜ਼ਨ அடிவானம்
ਸੈਸ਼ਨ அமர்வு
ਪ੍ਰੀਖਿਆ தேர்வு
ਟੈਸਟ சோதனை
ਪ੍ਰੀਖਿਆ பரிசோதனை
ਕਾਲਕਰੋ அழைப்பு
ਚਮਕਦਾਰ பிரகாசமான
ਮਿਲੋ சந்திக்க
ਉੱਤਰ வடக்கு
ਦੱਖਣ தெற்கு
ਪੂਰਬ கிழக்கு
ਪੱਛਮ மேற்கு
ਟਾਪੂ தீவு
ਬੀਚ கடற்கரை
ਸੂਚੀ பட்டியல்
ਵਟਾਂਦਰਾ பரிமாற்றம்
ਵਿਦੇਸ਼ வெளிநாட்டில்
ਸਾਲਾਨਾ ஆண்டு
ਅੰਤਿਮ இறுதி
ਅੰਤਵਿੱਚ இறுதியாக
ਫੌਜ இராணுவம்
ਆਦਮੀ ஆண்
ਔਰਤ பெண்
ਮਰਦ ஆண்கள்
ਔਰਤਾਂ பெண்கள்
ਔਰਤ பெண்
ਔਰਤਾਂ பெண்கள்
ਮੀਡੀਆ ஊடகம்
ਮੀਟਿੰਗ சந்தித்தல்
ਪੈਕੇਟ பாக்கெட்
ਕੱਪ கோப்பை
ਸੂਟਕੇਸ சூட்கேஸ்
ਯਾਤਰਾ பயணம்
ਯਾਤਰਾ பயணம்
ਅਲਾਰਮ எச்சரிக்கை
ਜੋੜ தொகை
ਘਟਾਓ கழித்தல்
ਪਾੜਾ பிரி
ਗੁਣਾ பெருக்கி
ਏਕੀਕ੍ਰਿਤ ஒருங்கிணைக்க
ਸਹਿਯੋਗ ஆதரவு
ਘੋਸ਼ਣਾ அறிவிக்கின்றன
ਪੇਸ਼ਕਾਰੀ விளக்கக்காட்சி
ਚੁਣੌਤੀ சவால்
ਝਲਕ எட்டிப்பார்க்க
ਅਨੁਮਾਨ எதிர்பார்க்கின்றன
ਚੰਗਿਆੜੀ தீப்பொறி
